location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,aged_65_older,gdp_per_capita,cardiovasc_death_rate,population
Iraq,Oct-21,63018464,51945,704784,910,1416268.617,1167.406,15839.222,20.45,98.766,485583.566,6776.972,1379379844
Iraq,Oct-22,76286471,1502,786050,3,1714452.054,33.755,17665.573,0.067,98.766,485583.566,6776.972,1379379844
Iraq,Nov-20,15543204,79919,349853,1348,349315.905,1796.091,7862.552,30.294,95.58,469919.58,6558.36,1334883720
Iraq,Nov-21,62098113,25924,706034,650,1395584.77,582.615,15867.315,14.608,95.58,469919.58,6558.36,1334883720
Iraq,Nov-22,73870441,2240,760835,6,1660154.511,50.342,17098.908,0.134,95.58,469919.58,6558.36,1334883720
Iraq,Dec-20,17911961,42742,390874,555,402551.041,960.576,8784.451,12.471,98.766,485583.566,6776.972,1379379844
Iraq,Dec-21,64757610,12568,744609,338,1455353.953,282.451,16734.244,7.597,98.766,485583.566,6776.972,1379379844
Iraq,Dec-22,24641146,651,253652,2,553781.85,14.63,5700.54,0.045,31.86,156639.86,2186.12,444961240
Iraq,Feb-20,34,13,2043247.52,4254.82933,0.762,0.292,20981.03037,46.89895295,19.116,93983.916,1311.672,266976744
Iraq,Feb-21,18220943,75853,369658,359,409495.062,1704.711,8307.647,8.071,89.208,438591.608,6121.136,1245891472
Iraq,Feb-22,63664871,92211,692308,600,1430795.881,2072.338,15558.835,13.486,89.208,438591.608,6121.136,1245891472
Iraq,Mar-20,6335,681,509,50,142.374,15.304,11.44,1.119,98.766,485583.566,6776.972,1379379844
Iraq,Mar-21,23904513,155435,429242,917,537226.862,3493.226,9646.727,20.608,98.766,485583.566,6776.972,1379379844
Iraq,Mar-22,71715758,16757,778222,175,1611730.45,376.593,17489.658,3.931,98.766,485583.566,6776.972,1379379844
Iraq,Apr-20,42494,1391,2275,43,955.006,31.26,51.13,0.961,95.58,469919.58,6558.36,1334883720
Iraq,Apr-21,28798758,214275,446909,1142,647219.473,4815.588,10043.773,25.666,95.58,469919.58,6558.36,1334883720
Iraq,Apr-22,69683461,5542,755787,47,1566056.878,124.552,16985.459,1.051,95.58,469919.58,6558.36,1334883720
Iraq,May-20,112314,4354,4085,112,2524.127,97.85,91.802,2.515,98.766,485583.566,6776.972,1379379844
Iraq,May-21,35327743,136153,494963,910,793951.022,3059.884,11123.732,20.449,98.766,485583.566,6776.972,1379379844
Iraq,May-22,72124454,3062,781684,8,1620915.43,68.816,17567.462,0.177,98.766,485583.566,6776.972,1379379844
Iraq,Jun-20,731904,42670,25196,1738,16448.712,958.959,566.251,39.057,95.58,469919.58,6558.36,1334883720
Iraq,Jun-21,38096059,144552,503456,811,856165.787,3248.643,11314.603,18.224,95.58,469919.58,6558.36,1334883720
Iraq,Jun-22,69994249,20508,756782,22,1573041.486,460.895,17007.814,0.491,95.58,469919.58,6558.36,1334883720
Iraq,Jul-20,2680051,75500,107877,2798,60231.113,1696.78,2424.414,62.883,98.766,485583.566,6776.972,1379379844
Iraq,Jul-21,45815638,280695,552846,1471,1029654.583,6308.303,12424.587,33.058,98.766,485583.566,6776.972,1379379844
Iraq,Jul-22,74477581,96136,783421,74,1673799.295,2160.548,17606.501,1.659,98.766,485583.566,6776.972,1379379844
Iraq,Aug-20,5516538,110325,183007,2301,123977.943,2479.429,4112.874,51.711,98.766,485583.566,6776.972,1379379844
Iraq,Aug-21,55068495,261551,612759,2173,1237602.066,5878.065,13771.066,48.836,98.766,485583.566,6776.972,1379379844
Iraq,Aug-22,76048494,13073,785334,31,1709103.787,293.801,17649.491,0.694,98.766,485583.566,6776.972,1379379844
Iraq,Sep-20,9025163,128047,245813,2139,202830.32,2877.712,5524.369,48.07,95.58,469919.58,6558.36,1334883720
Iraq,Sep-21,58773176,115153,648829,1430,1320860.576,2587.933,14581.696,32.137,95.58,469919.58,6558.36,1334883720
Iraq,Sep-22,73764715,2111,760492,9,1657778.439,47.442,17091.2,0.202,95.58,469919.58,6558.36,1334883720
Ireland,Jan-21,4945372,104768,82195,1070,984524.325,20857.206,16363.373,213.017,431.768,2087394.083,3920.229,155716348
Ireland,Jan-22,32589477,394449,186982,224,6487910.869,78526.879,37224.365,44.594,431.768,2087394.083,3920.229,155716348
Ireland,Oct-20,1495470,25301,57316,114,297718.064,5036.922,11410.467,22.69,431.768,2087394.083,3920.229,155716348
Ireland,Oct-21,12868314,55662,165110,187,2561823.079,11081.185,32870.09,37.227,431.768,2087394.083,3920.229,155716348
Ireland,Oct-22,51721608,8666,247725,101,10296734.21,1725.226,49317.071,20.107,431.768,2087394.083,3920.229,155716348
Ireland,Nov-20,2035798,11088,59595,140,405286.528,2207.397,11864.17,27.869,417.84,2020058.79,3793.77,150693240
Ireland,Nov-21,15185143,124521,167105,216,3023057.24,24789.632,33267.253,43,417.84,2020058.79,3793.77,150693240
Ireland,Nov-22,50292074,8229,243579,154,10012142.68,1638.23,48491.691,30.658,417.84,2020058.79,3793.77,150693240
Ireland,Dec-20,2451763,19235,66477,186,488096.811,3829.301,13234.237,37.024,431.768,2087394.083,3920.229,155716348
Ireland,Dec-21,20236387,218444,180276,260,4028658.551,43487.814,35889.335,51.76,431.768,2087394.083,3920.229,155716348
Ireland,Dec-22,16812924,1861,82106,34,3347115.772,370.488,16345.656,6.769,139.28,673352.93,1264.59,50231080
Ireland,Feb-20,1,1,2043247.52,4254.82933,0.199,0.199,20981.03037,46.89895295,13.928,67335.293,126.459,5023108
Ireland,Feb-21,5864137,23045,109821,1012,1167431.996,4587.797,21863.159,201.468,389.984,1885388.204,3540.852,140647024
Ireland,Feb-22,34961015,122946,177668,361,6960036.494,24476.08,35370.136,71.868,389.984,1885388.204,3540.852,140647024
Ireland,Mar-20,23308,3234,296,71,4640.154,643.825,58.927,14.134,431.768,2087394.083,3920.229,155716348
Ireland,Mar-21,7065554,16262,140547,368,1406610.009,3237.437,27980.084,73.26,431.768,2087394.083,3920.229,155716348
Ireland,Mar-22,42425550,159003,205537,256,8446075.618,31654.305,40918.291,50.964,431.768,2087394.083,3920.229,155716348
Ireland,Apr-20,365860,17377,16660,1161,72835.388,3459.411,3316.672,231.13,417.84,2020058.79,3793.77,150693240
