Country,Time,Annual CO2 emissions (per capita)
Eswatini,2015,0.7657965
Eswatini,2016,0.92359316
Eswatini,2017,0.85601753
Eswatini,2018,0.89040095
Eswatini,2019,0.95858824
Eswatini,2020,0.89782774
Eswatini,2021,0.91188765
Ethiopia,2015,0.123901345
Ethiopia,2016,0.1362616
Ethiopia,2017,0.14370508
Ethiopia,2018,0.14224885
Ethiopia,2019,0.16033709
Ethiopia,2020,0.14541018
Ethiopia,2021,0.14792238
Faeroe Islands,2015,12.45136
Faeroe Islands,2016,12.725562
Faeroe Islands,2017,14.070157
Faeroe Islands,2018,14.23108
Faeroe Islands,2019,14.313607
Faeroe Islands,2020,13.199332
Faeroe Islands,2021,13.197505
Fiji,2015,1.3542126
Fiji,2016,1.2806851
Fiji,2017,1.4233043
Fiji,2018,1.4750098
Fiji,2019,1.4798502
Fiji,2020,1.5544984
Fiji,2021,1.5902857
Finland,2015,8.048078
Finland,2016,8.585987
Finland,2017,8.093067
Finland,2018,8.303282
Finland,2019,7.6757298
Finland,2020,6.7991943
Finland,2021,6.7923503
France,2015,5.196383
France,2016,5.226494
France,2017,5.2609296
France,2018,5.0177007
France,2019,4.9128566
France,2020,4.342917
France,2021,4.7413116
French Guiana,2015,2.7247825
French Guiana,2016,2.7254941
French Guiana,2017,2.6240277
French Guiana,2018,2.5400438
French Guiana,2019,2.5341055
French Guiana,2020,2.2385952
French Guiana,2021,2.189799
French Polynesia,2015,2.9006019
French Polynesia,2016,2.9581404
French Polynesia,2017,2.914275
French Polynesia,2018,2.9423785
French Polynesia,2019,2.921616
French Polynesia,2020,3.0610032
French Polynesia,2021,3.1239517
Gabon,2015,3.1922517
Gabon,2016,3.1260996
Gabon,2017,2.9369884
Gabon,2018,2.7335813
Gabon,2019,2.557198
Gabon,2020,2.483145
Gabon,2021,2.4399939
Gambia,2015,0.25856218
Gambia,2016,0.2545749
Gambia,2017,0.24927379
Gambia,2018,0.24277644
Gambia,2019,0.23950748
Gambia,2020,0.2384809
Gambia,2021,0.24837817
Georgia,2015,2.5870674
Georgia,2016,2.6696846
Georgia,2017,2.6969206
Georgia,2018,2.6674635
Georgia,2019,2.8959723
Georgia,2020,2.8387778
Georgia,2021,2.929708
Germany,2015,9.6932535
Germany,2016,9.720951
Germany,2017,9.50829
Germany,2018,9.100585
Germany,2019,8.504699
Germany,2020,7.672972
Germany,2021,8.08974
Ghana,2015,0.5550984
Ghana,2016,0.5265697
Ghana,2017,0.46136278
Ghana,2018,0.55408466
Ghana,2019,0.59343636
Ghana,2020,0.61075526
Ghana,2021,0.64912677
Greece,2015,6.9334774
Greece,2016,6.6386867
Greece,2017,6.9999475
Greece,2018,6.7506948
Greece,2019,6.218656
Greece,2020,5.2900543
Greece,2021,5.390837
Greenland,2015,9.367909
Greenland,2016,9.383529
Greenland,2017,9.687083
Greenland,2018,9.794134
Greenland,2019,9.894308
Greenland,2020,8.929295
Greenland,2021,9.0758
Grenada,2015,2.1861942
Grenada,2016,2.229435
Grenada,2017,2.3026114
Grenada,2018,2.5257974
Grenada,2019,2.6867204
Grenada,2020,2.3122454
Grenada,2021,2.5613847
Guadeloupe,2015,6.172308
Guadeloupe,2016,6.3326087
Guadeloupe,2017,6.261647
Guadeloupe,2018,6.237261
Guadeloupe,2019,6.4024734
Guadeloupe,2020,5.790658
Guadeloupe,2021,5.784693
Guatemala,2015,0.9969242
Guatemala,2016,1.0390084
Guatemala,2017,1.0447445
Guatemala,2018,1.1092327
Guatemala,2019,1.1552123
Guatemala,2020,1.0134118
Guatemala,2021,1.1543926
Guinea,2015,0.2108391
Guinea,2016,0.22975393
Guinea,2017,0.26460513
Guinea,2018,0.29358995
Guinea,2019,0.34430987
Guinea,2020,0.34325704
Guinea,2021,0.35780457
Guinea-Bissau,2015,0.15565944
Guinea-Bissau,2016,0.1657689
Guinea-Bissau,2017,0.1617759
Guinea-Bissau,2018,0.16179088
Guinea-Bissau,2019,0.16363285
Guinea-Bissau,2020,0.16339748
Guinea-Bissau,2021,0.17073512
Guyana,2015,2.653274
Guyana,2016,3.0893745
Guyana,2017,3.0389013
Guyana,2018,3.1584024
Guyana,2019,3.4179611
Guyana,2020,4.002681
Guyana,2021,3.837854
Haiti,2015,0.25186643
Haiti,2016,0.27809986
Haiti,2017,0.2853974
Haiti,2018,0.30614442
Haiti,2019,0.27352905
Haiti,2020,0.23151909
Haiti,2021,0.25122553
Honduras,2015,1.1133431
Honduras,2016,1.0276414
Honduras,2017,1.0628078
Honduras,2018,1.0069852
Honduras,2019,1.1278571
Honduras,2020,0.9725754
Honduras,2021,1.060269
Hong Kong,2015,5.729839
Hong Kong,2016,5.8319287
Hong Kong,2017,5.686675
Hong Kong,2018,5.6940813
Hong Kong,2019,5.589584
Hong Kong,2020,4.200106
Hong Kong,2021,4.2249703
Hungary,2015,4.739159
Hungary,2016,4.800059
Hungary,2017,5.058283
Hungary,2018,5.059481
Hungary,2019,5.038442
Hungary,2020,4.8494077
Hungary,2021,4.9902883
Iceland,2015,10.6741
Iceland,2016,10.382552
Iceland,2017,10.480763
Iceland,2018,10.366745
Iceland,2019,9.829243
Iceland,2020,9.078373
Iceland,2021,9.113199
India,2015,1.7165496
India,2016,1.7807794
India,2017,1.7980177
India,2018,1.8995181
India,2019,1.8989491
India,2020,1.7509557
India,2021,1.9250876
Indonesia,2015,2.0809183
Indonesia,2016,2.1105638
Indonesia,2017,2.14464
Indonesia,2018,2.260322
Indonesia,2019,2.4461334
Indonesia,2020,2.2430317
Indonesia,2021,2.2621746
Iran,2015,7.721905
Iran,2016,7.608397
Iran,2017,8.11077
Iran,2018,8.186843
Iran,2019,8.120656
Iran,2020,8.362657
Iran,2021,8.517396
Iraq,2015,4.45509
Iraq,2016,5.0134673
Iraq,2017,5.34339
Iraq,2018,5.258127
Iraq,2019,4.5027084
Iraq,2020,4.0770516
Iraq,2021,4.262931
Ireland,2015,8.298328
Ireland,2016,8.560502
Ireland,2017,8.189266
Ireland,2018,8.069567
Ireland,2019,7.623673
Ireland,2020,7.107224
Ireland,2021,7.5283546
Israel,2015,7.8597527
Israel,2016,7.4960833
Israel,2017,7.081456
Israel,2018,7.125526
Israel,2019,6.812934
Israel,2020,6.2812653
Israel,2021,6.126762
Italy,2015,5.9961104
Italy,2016,5.9579296
Italy,2017,5.878529
Italy,2018,5.828657
Italy,2019,5.679641
Italy,2020,5.080263
Italy,2021,5.5483704
Jamaica,2015,2.8624215
Jamaica,2016,2.9127038
Jamaica,2017,2.7765203
Jamaica,2018,2.8758495
Jamaica,2019,2.7803972
Jamaica,2020,2.4618556
Jamaica,2021,2.7194328
Japan,2015,9.615686
Japan,2016,9.479893
Japan,2017,9.382093
Japan,2018,9.056306
Japan,2019,8.792438
Japan,2020,8.321498
Japan,2021,8.56574
Jordan,2015,2.6918647
Jordan,2016,2.434076
Jordan,2017,2.4892416
Jordan,2018,2.3862228
Jordan,2019,2.4608672
Jordan,2020,2.2822576
Jordan,2021,2.2957532
Kazakhstan,2015,16.891382
Kazakhstan,2016,16.86194
Kazakhstan,2017,17.515402
Kazakhstan,2018,17.899391
Kazakhstan,2019,15.866767
Kazakhstan,2020,14.668894
Kazakhstan,2021,14.413248
Kenya,2015,0.3478116
Kenya,2016,0.3631004
Kenya,2017,0.34768176
Kenya,2018,0.36372316
Kenya,2019,0.37638173
Kenya,2020,0.3515545
Kenya,2021,0.37496784
Kiribati,2015,0.47088256
Kiribati,2016,0.463684
Kiribati,2017,0.5478742
Kiribati,2018,0.53936994
Kiribati,2019,0.53079224
Kiribati,2020,0.55037045
Kiribati,2021,0.5550228
Kosovo,2015,4.7385
Kosovo,2016,5.0584145
Kosovo,2017,4.673971
Kosovo,2018,4.7654376
Kosovo,2019,5.0370727
Kosovo,2020,5.100717
Kosovo,2021,3.396079
Kuwait,2015,23.651518
Kuwait,2016,25.17166
Kuwait,2017,23.258196
Kuwait,2018,22.478844
Kuwait,2019,23.498793
Kuwait,2020,22.88267
Kuwait,2021,24.972116
Kyrgyzstan,2015,1.7377696
Kyrgyzstan,2016,1.6028153
Kyrgyzstan,2017,1.5271472
Kyrgyzstan,2018,1.7842895
Kyrgyzstan,2019,1.4280186
Kyrgyzstan,2020,1.3212234
Kyrgyzstan,2021,1.4259297
Laos,2015,1.3597585
Laos,2016,2.3882232
Laos,2017,2.812812
Laos,2018,2.893467
Laos,2019,2.7171376
Laos,2020,2.7991104
Laos,2021,2.7982957
Latvia,2015,3.6457217
Latvia,2016,3.653615
Latvia,2017,3.6907718
Latvia,2018,4.06036
Latvia,2019,3.9908507
Latvia,2020,3.686823
Latvia,2021,3.877535
Lebanon,2015,4.0216894
Lebanon,2016,4.227318
Lebanon,2017,4.55805
Lebanon,2018,4.403218
Lebanon,2019,4.5660133
Lebanon,2020,4.321998
Lebanon,2021,4.462823
Lesotho,2015,1.0584537
Lesotho,2016,1.0322686
Lesotho,2017,1.1579648
Lesotho,2018,1.0785148
Lesotho,2019,1.073333
Lesotho,2020,0.9706939
Lesotho,2021,1.0003072
Liberia,2015,0.26089266
Liberia,2016,0.28766924
Liberia,2017,0.2560038
Liberia,2018,0.2212218
Liberia,2019,0.22192731
Liberia,2020,0.22159466
Liberia,2021,0.23014884
Libya,2015,8.809524
Libya,2016,8.221544
Libya,2017,8.377983
Libya,2018,8.338614
Libya,2019,10.540814
Libya,2020,8.801566
Libya,2021,11.064882
Liechtenstein,2015,4.2745466
Liechtenstein,2016,3.9818761
Liechtenstein,2017,4.108266
Liechtenstein,2018,3.7416568
Liechtenstein,2019,3.8708053
Liechtenstein,2020,3.661295
Liechtenstein,2021,3.8647652
Lithuania,2015,4.494177
Lithuania,2016,4.551006
Lithuania,2017,4.672769
Lithuania,2018,4.7603407
Lithuania,2019,4.886943
Lithuania,2020,4.8410826
Lithuania,2021,4.981188
Luxembourg,2015,16.41591
Luxembourg,2016,15.580967
Luxembourg,2017,15.531365
Luxembourg,2018,15.736727
Luxembourg,2019,15.729075
Luxembourg,2020,12.843433
Luxembourg,2021,13.067673
Macao,2015,3.248601
Macao,2016,2.841425
Macao,2017,3.017895
Macao,2018,1.9079933
Macao,2019,1.8274176
Macao,2020,1.8805522
Macao,2021,1.8740766
Madagascar,2015,0.12987387
Madagascar,2016,0.12813878
Madagascar,2017,0.15739256
Madagascar,2018,0.14237654
Madagascar,2019,0.15613857
Madagascar,2020,0.14173806
Madagascar,2021,0.146784
Malawi,2015,0.063246265
Malawi,2016,0.068618685
Malawi,2017,0.07607326
